Iteration	Posterior	Likelihood	Prior	beta_scale	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	rate_log_sd	tree_length
0	-92.62195	-127.0969	34.4749	0.6047569	0.0236286	0.765609	0.116632	0.0941308	1.102978	0.8047253
6	-97.10901	-129.9634	32.85436	2.849905	0.0196698	0.637337	0.264633	0.0783599	0.8675961	0.8047253
12	-97.63292	-128.4748	30.84187	6.876493	0.640288	0.110293	0.193035	0.056385	0.9906012	0.8777868
18	-92.08175	-126.0391	33.95735	0.7462407	0.723216	0.0458119	0.128235	0.102737	1.483273	0.2924681
24	-90.82242	-123.7408	32.91834	1.882193	0.241067	0.165196	0.301516	0.292221	1.483273	0.2924681
30	-91.04501	-124.9371	33.89211	0.8122662	0.511674	0.230998	0.061281	0.196048	1.483273	0.2954397
36	-89.68948	-124.3202	34.63071	0.8457727	0.0623039	0.777189	0.0382236	0.122284	0.6731545	0.830552
42	-91.94294	-126.4578	34.51488	0.6212168	0.0245959	0.306814	0.640628	0.027962	1.159371	0.4068607
48	-97.69424	-131.1924	33.49815	1.8942	0.56883	0.248144	0.158274	0.024752	0.8299361	0.8692013
54	-96.15457	-130.3357	34.18109	1.144476	0.493414	0.0971007	0.388015	0.0214703	0.2839873	1.33947
60	-92.89907	-127.4729	34.57385	1.006542	0.709064	0.0181542	0.192282	0.0804995	0.3056605	1.102339
66	-87.89445	-121.972	34.07757	1.280536	0.42097	0.370959	0.195065	0.0130057	0.5390429	1.102339
72	-91.04674	-123.7458	32.69902	2.671171	0.70243	0.117649	0.174942	0.00497927	0.5914335	1.326618
78	-92.08524	-125.0585	32.97329	2.671171	0.649847	0.059473	0.102558	0.188122	0.7017417	0.9859245
84	-89.7397	-123.8147	34.07499	0.8209568	0.460023	0.122833	0.028604	0.388539	0.4787667	1.521062
90	-96.64345	-130.0386	33.39518	1.689636	0.260432	0.180879	0.03831	0.52038	1.167276	0.7774807
96	-93.19407	-127.2144	34.02031	1.568001	0.181692	0.435365	0.159012	0.223931	0.5817948	0.8567207
102	-89.30636	-123.404	34.09765	1.568001	0.215561	0.282767	0.376063	0.125609	0.3378675	1.034104
108	-93.78645	-128.3278	34.54134	0.8379269	0.262461	0.165444	0.0884761	0.483619	0.9197782	0.4539314
114	-95.9888	-131.3328	35.34402	0.2072148	0.132524	0.348321	0.0735666	0.445589	0.549214	0.732883
120	-95.20144	-127.911	32.70957	2.820046	0.791941	0.133884	0.0288148	0.0453602	0.4583496	1.349465
126	-91.46622	-126.183	34.71677	0.2349391	0.70603	0.151405	0.0210121	0.121553	0.5550574	1.357906
132	-98.25032	-132.2233	33.97303	1.000554	0.0931647	0.542419	0.065509	0.298907	0.3952205	1.522381
138	-95.60844	-130.5812	34.97275	0.3059399	0.487657	0.395656	0.042016	0.0746713	0.8805396	0.7906475
144	-93.95747	-124.7468	30.78936	8.333865	0.171762	0.412268	0.167603	0.248367	0.2242146	1.211113
150	-89.94857	-123.5621	33.61358	1.804537	0.0354682	0.772389	0.0909838	0.101159	0.2242146	1.380812
156	-87.59072	-122.2715	34.68076	1.278428	0.739739	0.217379	0.00789668	0.0349846	0.05766468	0.9872917
162	-87.17143	-122.4347	35.2633	0.1749904	0.180049	0.0529092	0.00488014	0.762161	0.04239581	1.293776
168	-91.1591	-124.5574	33.39828	2.785589	0.559392	0.135465	0.0206722	0.28447	0.3130607	0.8676653
174	-89.0329	-122.88	33.84706	1.815497	0.610335	0.119803	0.0182822	0.25158	0.3350362	1.082745
180	-97.38304	-132.3843	35.00131	0.3132205	0.367628	0.220797	0.330239	0.0813363	0.7166945	0.9464576
186	-96.65721	-128.8348	32.17758	3.73138	0.259491	0.108942	0.450438	0.181129	0.9535569	0.9132313
192	-93.84167	-127.7138	33.87212	1.55385	0.642882	0.0668082	0.124066	0.166244	0.6348029	0.9749409
198	-86.61403	-121.7795	35.16551	0.2466073	0.366464	0.380208	0.0810323	0.172296	0.4627645	1.053578
204	-84.42854	-119.2972	34.86867	0.2466073	0.311326	0.538102	0.0845164	0.0660553	0.7596006	1.053578
210	-86.3849	-121.8085	35.42363	0.4567835	0.349137	0.538817	0.0729473	0.0390983	0.3207226	0.782239
216	-92.83625	-127.5276	34.69132	0.643688	0.145975	0.289427	0.0304993	0.534099	0.8955661	0.7330448
222	-107.0759	-132.2437	25.16781	35.8148	0.136894	0.697965	0.0735503	0.0915916	0.6589565	1.7563
228	-93.5259	-126.6687	33.14275	1.127943	0.450457	0.402326	0.0944216	0.0527959	0.2259915	2.126749
